Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Fruit flavour drink, low Calorie, powder + water (Crystal LightTM)",250mL,254,3,14,0,1,0,0,tr,0,0,6,tr,6,0,3,2,tr,0,0,0
"Fruit punch flavour drink, powder (Kool-AidTM) + water",250mL,276,102,427,0,26,,0,tr,tr,0,44,0.1,39,3,3,55,0,0,0,0
"Fruit punch flavour drink, vitamin C added, powder + water",250mL,277,102,429,0,26,,0,tr,tr,0,44,0.1,39,3,3,55,0,100,0,0
"Fruit punch juice drink, ready-to-drink (Sunny DTM)",250mL,262,123,516,0,33,31,0,0,0,0,3,0.1,26,31,,3,0,3,0,0
"Lemonade, pink or white, frozen, diluted",250mL,262,105,440,tr,27,13,0.2,tr,tr,0,8,0.4,6,39,5,5,0,10,0,0
"Mixed vegetable and fruit juice drink, ready-to-drink (V8 SplashTM)",250mL,257,113,472,tr,29,5,0.3,tr,0,0,10,0.2,41,62,5,8,259,81,0,0
"Orange drink, vitamin C added (Hi-CTM), ready-to-drink",250mL,262,134,558,0,34,29,0,tr,tr,0,16,0.7,42,47,5,3,3,94,0,0
"Orange drink, vitamin C added (TangTM, QuenchTM, Rise'n ShineTM), powder + water",250mL,286,135,564,0,34,34,0,0,0,0,140,0.1,11,69,3,63,220,88,0,0
OTHER BEVERAGES,,,,,,,,,,,,,,,,,,,,,
"Sports drink, fruit flavour, low Calorie, ready-to-drink (GatoradeTM, PoweradeTM)",250mL,261,29,120,0,8,0,0,0,0,0,0,0.1,91,26,3,23,0,16,0,0
"Sports drink, fruit flavour, ready-to-drink (GatoradeTM, PoweradeTM)",250mL,258,67,281,0,16,14,0,tr,0,0,3,0.5,101,36,3,23,0,1,,
"Water, mineral (PerrierTM)",250mL,250,0,0,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0
"Water, municipal",250mL,250,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,0,0,0,0
ALCOHOLIC,,,,,,,,,,,,,,,,,,,,,
