Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Almonds, roasted, salted",60mL,35,209,874,8,7,2,4.1,18,1.4,,93,1.6,119,261,100,171,,,,
"Brazil nuts, dried",60mL,36,233,974,5,4,1,2.7,24,5.4,,57,0.9,1,234,133,257,,,,
"Cashews, roasted, salted",60mL,35,199,834,5,11,2,1,16,3.2,,16,2.1,222,196,90,170,,,,
"Hazelnuts or filberts, dried",60mL,34,215,899,5,6,1,3.3,21,1.5,,39,1.6,0,233,56,99,,,,
"Mixed nuts, oil roasted, salted",60mL,36,222,929,6,8,2,3.2,20,3.1,,39,1.2,151,209,85,167,,,,
"Mixed nuts, roasted",60mL,35,206,863,6,9,,3.1,18,2.4,,24,1.3,4,207,78,151,,,,
"Mixed nuts, roasted, salted",60mL,35,206,863,6,9,2,3.1,18,2.4,,24,1.3,232,207,78,151,,,,
"Nuts, macadamia, roasted, salted",60mL,34,243,1017,3,4,1,2.7,26,4.1,,24,0.9,90,123,40,67,,,,
"Pecans, dried",60mL,25,173,726,2,3,1,2.4,18,1.6,,18,0.6,0,103,30,70,,,,
"Pine nuts, pignolia, dried",60mL,34,230,963,5,4,1,1.3,23,1.7,,5,1.9,1,204,86,197,,,,
"Pistachios, shelled, roasted, salted",60mL,31,177,741,7,8,2,3.2,14,1.7,,34,1.3,126,325,37,151,,,,
"Walnuts, dried",60mL,25,166,694,4,3,1,1.7,17,1.6,,25,0.7,1,112,40,88,,,,
NUT BUTTERS,,,,,,,,,,,,,,,,,,,,,
Almond butter,30mL,32,205,858,5,7,,1.2,19,1.8,,88,1.2,4,246,98,170,,,,
Cashew butter,30mL,32,190,796,6,9,,0.6,16,3.2,,14,1.6,5,177,84,148,,,,
"Sesame butter, tahini",30mL,30,181,757,5,6,tr,2.8,16,2.3,,130,2.7,35,126,29,223,,,,
SEEDS,,,,,,,,,,,,,,,,,,,,,
"Flaxseeds, whole and ground",15mL,11,56,235,2,3,tr,3,4,0.4,,36,0.5,3,89,39,53,,,,
"Pumpkin and squash seeds, kernels, dried",60mL,35,189,792,9,6,tr,1.4,16,3,,15,5.2,6,282,187,411,,,,
"Sunflower seed kernels, roasted, salted",60mL,32,189,790,6,8,1,2.9,16,1.7,,23,1.2,133,276,42,375,,,,
,,,,,,,,,,,,,,,,,,,,,
MEAT AND POULTRY,,,,,,,,,,,,,,,,,,,,,
BEEF,,,,,,,,,,,,,,,,,,,,,
"Blade roast, lean + fat, braised",75g,75,200,834,26,0,,,10,4,71,,2.5,46,202,18,142,0,,,
"Blade steak, lean + fat, braised",75g,75,227,947,23,0,,,14,5.7,71,,2.4,49,178,17,138,0,,,
"Composite, roast, lean + fat, cooked",75g,75,181,756,24,0,,,8,3.5,61,,2.3,40,230,19,155,0,,,
"Composite, steak, lean + fat, cooked",75g,75,196,819,25,0,,,9,3.9,64,,2.4,40,200,18,148,0,,,
"Cross rib roast, lean + fat, braised",75g,75,197,825,27,0,,,9,3.6,70,,2.6,52,242,21,164,0,,,
"Eye of round roast, lean + fat, roasted",75g,75,148,618,24,0,,,5,2.1,50,,1.5,40,243,19,152,0,,,
"Eye of round steak, lean + fat, braised",75g,75,171,715,28,0,,,5,2.2,61,,1.8,35,243,19,152,0,,,
"Flank steak, lean + fat, braised",75g,75,184,769,25,0,,,8,3.6,54,,2.2,45,243,19,152,0,,,
"Ground, extra lean, crumbled, pan-fried",75g,75,167,696,23,0,,,8,3.2,59,,2.1,65,311,22,180,0,,,
"Ground, lean, crumbled, pan-fried",75g,75,194,809,22,0,,,11,4.5,59,,2.1,70,293,21,174,0,,,
"Ground, medium, crumbled, pan-fried",75g,75,214,894,22,0,,,13,5.6,61,,2,68,303,21,173,0,,,
"Ground, regular, crumbled, pan-fried",75g,75,243,1016,22,0,,,17,7,63,,2.2,78,301,21,178,0,,,
"Inside (top) round roast, lean + fat, roasted",75g,75,133,555,24,0,,,3,1.4,53,,2.1,48,253,20,163,0,,,
"Inside (top) round steak, lean + fat, braised",75g,75,175,731,30,0,,,5,2.1,68,,2.4,38,204,20,157,0,,,
"Outside (bottom) round roast, lean + fat, roasted",75g,75,158,659,25,0,,,5,2.1,58,,2.9,42,243,19,152,0,,,
"Outside (bottom) round steak, lean + fat, braised",75g,75,195,815,29,0,,,8,3,72,,3.1,43,243,19,152,0,,,
"Rib eye steak, lean + fat, broiled",75g,75,230,963,20,0,,,16,6.7,53,,2.4,40,243,19,152,0,,,
"Rib steak, lean + fat, broiled",75g,75,232,969,23,0,,,15,6.4,58,,1.9,56,243,19,152,0,,,
"Rump roast, lean + fat, broiled",75g,75,164,684,21,0,,,8,3.2,59,,1.9,47,296,20,180,0,,,
"Short ribs, lean + fat, simmered",75g,75,309,1292,17,0,,,26,11.2,57,,1.4,29,146,10,86,0,,,
"Sirloin tip roast, lean + fat, roasted",75g,75,156,653,25,0,,,5,2.2,58,,2.7,44,243,19,152,0,,,
"Standing rib roast, lean + fat, roasted",75g,75,237,992,21,0,,,16,6.9,55,,1.7,53,243,19,152,0,,,
"Stewing beef, lean, simmered",75g,75,183,765,28,0,,,7,2.9,68,,2.6,45,214,19,150,0,,,
"Strip loin (New York) steak, lean + fat, broiled",75g,75,191,797,23,0,,,10,4.3,55,,2.1,43,243,19,152,0,,,
"T-Bone (Porterhouse) steak, lean + fat, broiled",75g,75,216,903,22,0,,,13,5.6,54,,2.1,51,243,19,152,0,,,
"Tenderloin, steak, lean + fat, broiled",75g,75,170,709,24,0,,,7,3.2,59,,2.9,50,243,19,152,0,,,
"Top sirloin steak, lean + fat, broiled",75g,75,146,611,21,0,,,6,2.6,52,,2,43,257,20,160,0,,,
VEAL,,,,,,,,,,,,,,,,,,,,,
"Composite cuts, lean and fat, cooked",75g,75,173,725,23,0,,,9,3.2,86,,0.9,65,244,20,179,0,,,
"Cutlets, grain-fed, pan-fried",75g,75,136,568,27,0,,,2,0.7,78,,1.5,33,266,21,171,0,,,
"Cutlets, milk-fed, pan-fried",75g,75,142,593,28,0,,,2,0.6,78,,0.5,58,332,16,218,0,,,
"Ground, broiled",75g,75,129,539,18,0,,,6,2.3,77,,0.7,62,253,18,163,0,,,
"Leg, lean and fat, breaded, pan-fried",75g,75,171,715,20,7,,,7,2.3,84,,1.2,341,278,23,188,8,,,
"Leg, lean and fat, roasted",75g,75,120,502,21,0,,,3,1.4,77,,0.7,51,292,21,176,0,,,
"Loin, lean and fat, roasted",75g,75,163,680,19,0,,,9,3.9,77,,0.7,70,244,19,159,0,,,
"Shoulder, whole, lean and fat, roasted",75g,75,142,593,23,0,,,5,2.2,65,,0.7,56,266,17,140,0,,,
"Stewing meat, lean, braised",75g,75,141,590,26,0,,,3,1,109,,1.1,70,257,21,179,0,,,
PORK,,,,,,,,,,,,,,,,,,,,,
"Back ribs, lean + fat, roasted",75g,75,274,1145,21,0,,,20,7.9,85,,0.9,100,251,18,147,2,,,
"Centre cut, loin, chop, lean + fat, broiled",75g,75,180,753,22,0,,,10,3.6,62,,0.6,44,269,19,174,2,,,
"Centre cut, loin, chop, lean + fat, pan-fried",75g,75,208,869,22,0,,,12,4.5,69,,0.7,60,319,22,194,2,,,
"Ground, lean, pan-fried",75g,75,175,731,19,0,,,11,4.1,60,,0.9,60,278,20,166,2,,,
"Ground, medium, pan-fried",75g,75,224,938,18,0,,,16,6,66,,0.8,68,275,19,164,2,,,
"Leg, butt end, lean + fat, roasted",75g,75,129,539,23,0,,,3,1.2,62,,0.8,51,293,23,198,2,,,
"Loin, rib end, lean + fat, broiled",75g,75,197,825,22,0,,,12,4.3,62,,0.6,47,301,20,178,2,,,
"Loin, rib end, lean + fat, pan-fried",75g,75,199,831,20,0,,,13,4.8,55,,0.5,38,323,19,177,2,,,
"Shoulder, butt, lean + fat, roasted",75g,75,198,828,19,0,,,13,5,67,,1.1,50,245,18,153,2,,,
"Shoulder, whole, lean + fat, roasted",75g,75,219,916,17,0,,,16,5.9,68,,1,51,247,14,159,2,,,
"Spareribs, lean + fat, braised",75g,75,251,1048,20,0,,,18,7,74,,1.1,49,118,14,107,2,,,
"Tenderloin, lean,  roasted",75g,75,108,452,21,0,,,2,0.8,52,,1,44,302,23,184,2,,,
LAMB,,,,,,,,,,,,,,,,,,,,,
"American, fresh, foreshank, lean + fat, cooked",75g,75,182,762,21,0,,,10,4.2,80,,1.6,54,193,17,125,0,,,
"American, fresh, ground, cooked",75g,75,212,888,19,0,,,15,6.1,73,,1.3,61,254,18,151,0,,,
"American, fresh, leg, whole, lean + fat, cooked",75g,75,194,809,19,0,,,12,5.2,70,,1.5,50,235,18,143,0,,,
"American, fresh, loin, lean + fat, cooked",75g,75,232,969,17,0,,,18,7.7,71,,1.6,48,185,17,135,0,,,
"American, fresh, rib, lean + fat, cooked",75g,75,269,1126,16,0,,,22,9.6,73,,1.2,55,203,15,125,0,,,
"American, fresh, shoulder, whole, lean+ fat, cooked",75g,75,207,866,17,0,,,15,6.3,69,,1.5,50,188,17,138,0,,,
"New Zealand, frozen, composite, lean + fat, cooked",75g,75,203,847,19,0,,,13,6.6,80,,1.6,35,121,14,158,0,,,
"New Zealand, frozen, foreshank, lean + fat, braised",75g,75,194,809,20,0,,,12,5.9,77,,1.6,35,89,11,131,0,,,
"New Zealand, frozen, leg, whole, lean + fat, roasted",75g,75,176,734,19,0,,,10,5.1,76,,1.6,33,128,15,166,0,,,
"New Zealand, frozen, loin, lean + fat, broiled",75g,75,222,929,18,0,,,16,7.9,85,,1.6,38,123,15,160,0,,,
"New Zealand, frozen, rib, lean + fat, roasted",75g,75,238,995,15,0,,,19,9.6,74,,1.3,33,96,11,130,0,,,
"New Zealand, frozen, shoulder, whole, lean + fat, braised",75g,75,257,1073,22,0,,,18,8.6,92,,1.6,39,113,14,150,0,,,
POULTRY AND GAME BIRDS,,,,,,,,,,,,,,,,,,,,,
"Chicken, broiler, breast, meat and skin, roasted",75g,75,142,593,19,0,,,7,1.8,63,,0.4,45,241,20,,20,,,
"Chicken, broiler, breast, meat, roasted",75g,75,119,499,25,0,,,2,0.4,64,,0.4,56,301,22,,5,,,
"Chicken, broiler, drumstick, meat and skin, roasted",75g,75,161,671,16,0,,,10,2.8,68,,1,68,172,17,131,23,,,
"Chicken, broiler, drumstick, meat, roasted",75g,75,127,530,19,0,,,5,1.4,70,,1,71,185,18,,14,,,
"Chicken, broiler, flesh and skin, roasted",75g,75,179,749,20,0,,,10,2.8,66,,0.9,62,167,17,137,35,,,
"Chicken, broiler, flesh, roasted",75g,75,143,596,22,0,,,6,1.5,67,,0.9,65,182,19,146,12,,,
"Chicken, broiler, thigh, meat and skin, roasted",75g,75,187,781,15,0,,,14,3.8,70,,1,63,167,17,131,36,,,
"Chicken, broiler, thigh, meat, roasted",75g,75,127,530,19,0,,,5,1.5,71,,1,66,179,18,,15,,,
"Chicken, broiler, wing, meat and skin,  roasted",75g,75,218,910,20,0,,,15,4.1,63,,1,62,138,14,113,35,,,
"Chicken, cornish game hens, flesh and skin, roasted",75g,75,195,815,17,0,,,14,3.8,98,,0.7,48,184,14,110,24,,,
"Chicken, ground, lean, cooked",75g,75,153,640,16,0,,,9,,59,,1.2,51,212,,,9,,,
"Duck, domesticated, roasted",75g,75,253,1057,14,0,,,21,7.3,63,,2,44,153,12,117,47,,,
"Duck, wild, cooked",75g,75,128,533,23,0,,,3,1,,,7.4,40,197,23,187,12,,,
"Goose, domesticated, flesh, roasted",75g,75,179,746,22,0,,,10,3.4,72,,2.2,57,291,19,232,9,,,
"Goose, wild (Canada goose), flesh, roasted",75g,75,150,627,23,0,,,6,0.7,72,,7.4,57,291,19,232,9,,,
"Ptarmigan, flesh cooked",75g,75,116,483,23,0,,,2,,,,6.5,37,247,27,190,,,,
"Spruce grouse, flesh, cooked",75g,75,99,414,20,0,,,2,,,,3.3,38,204,25,152,,,,
"Turkey, dark meat and skin, roasted",75g,75,162,677,17,0,,,9,2,82,,1.7,60,207,17,148,0,,,
"Turkey, dark meat, roasted",75g,75,139,581,19,0,,,6,1.6,82,,1.7,62,220,17,154,0,,,
"Turkey, ground, cooked",75g,75,176,737,21,0,,,10,2.5,77,,1.4,80,203,18,147,0,,,
"Turkey, light meat and skin, roasted",75g,75,143,599,21,0,,,4,0.9,58,,1.1,50,215,20,157,0,,,
"Turkey, light meat, roasted",75g,75,116,483,21,0,,,2,0.7,55,,1,51,231,21,165,0,,,
GAME MEATS AND OTHER MEATS,,,,,,,,,,,,,,,,,,,,,
"Bear, simmered",75g,75,194,812,24,0,,,10,2.7,74,,8,53,197,17,128,14,,,
"Beaver, roasted",75g,75,95,398,20,0,,,1,1.6,88,,3.6,68,255,17,135,,,,
"Bison, roasted",75g,75,107,449,21,0,,,2,0.7,62,,2.6,43,271,20,157,0,,,
"Caribou (reindeer), roasted",75g,75,122,512,24,0,,,2,1.9,82,,4.2,35,268,23,168,4,,,
"Deer (venison), roasted",75g,75,119,496,23,0,,,2,0.9,84,,3.4,41,251,18,170,0,,,
"Emu, inside drum, broiled",75g,75,117,489,24,0,,,2,0.5,68,,5.5,89,234,25,230,2,,,
"Goat, roasted",75g,75,107,449,20,0,,,2,0.7,56,,2.8,65,304,0,151,0,,,
"Horsemeat, roasted",75g,75,131,549,21,0,,,5,1.4,51,,3.8,41,284,19,185,0,,,
"Moose, roasted",75g,75,121,505,26,0,,,1,0.2,59,,3.8,38,375,23,188,0,,,
"Narwhal skin (muktuk), raw",90g,90,119,497,20,0,,,4,0.6,,,0.3,91,332,14,146,126,,,
"Ostrich, inside strip, cooked",75g,75,123,515,22,0,,,3,1.3,73,,3.6,55,275,20,190,0,,,
"Rabbit, composite cuts, roasted",75g,75,148,618,22,0,,,6,1.8,62,,1.7,35,287,16,197,0,,,
"Seal meat, boiled",75g,75,129,539,26,0,,,2,0.8,133,,17.6,33,212,20,139,11,,,
LIVER AND ORGAN MEATS,,,,,,,,,,,,,,,,,,,,,
"Heart, beef, simmered",75g,75,124,518,21,tr,,,4,1.1,159,,4.8,44,164,16,191,0,,,
"Kidney, beef simmered",75g,75,119,496,20,0,,,3,0.8,537,,4.4,71,101,9,228,0,,,
"Liver, beef, pan-fried",75g,75,131,549,20,4,,,4,1.1,286,,4.6,58,263,17,364,5808,,,
"Liver, chicken, pan-fried",75g,75,129,539,19,1,,,5,1.5,423,,9.7,69,236,20,332,3972,,,
"Liver, veal, pan-fried",75g,75,145,605,21,3,,,5,1.6,364,,4.5,64,265,17,362,15056,,,
"Thymus, veal, braised",75g,75,94,392,17,0,,,2,0.7,263,,0.9,44,326,18,470,0,,,
"Tongue, beef, canned or pickled",75g,75,200,838,14,tr,,,15,7.5,71,,1.6,55,148,11,137,0,,,
PROCESSED MEAT PRODUCTS,,,,,,,,,,,,,,,,,,,,,
"Back bacon, grilled",2 slices,47,87,364,11,1,,,4,1.3,27,,0.4,727,183,10,139,0,,,
"Bacon, pork, broiled, pan-fried or roasted",3 slices,24,130,543,9,tr,,,10,3.3,26,,0.3,554,136,8,128,3,,,
"Bacon, pork, broiled, pan-fried or roasted, reduced sodium",3 slices,24,130,543,9,tr,,,10,3.3,26,,0.3,247,136,8,128,3,,,
"Bologna (baloney), beef and pork",2 slices,56,153,640,7,3,,,13,4.7,31,,0.8,549,132,6,51,14,,,
"Bologna (baloney), beef and pork, light",2 slices,56,129,539,6,1,,,11,4.1,22,,0.4,620,87,7,101,0,,,
"Bologna (baloney), chicken",2 slices,56,127,531,7,4,,,9,3,55,,0.9,492,111,8,73,0,,,
"Chicken, canned, flaked",60mL,52,89,372,9,tr,,,5,1.5,32,,0.8,374,135,6,58,18,,,
"Corned beef, brisket, cooked",2 slices,56,101,422,11,1,,,6,2,55,,1,653,112,7,70,0,,,
"Cottage roll, pork, lean and fat, roasted",2 slices,56,69,291,9,1,,,3,1,38,,0.5,642,152,7,87,0,,,
Creton,30mL,34,193,808,5,tr,,,19,8.3,36,,0.3,129,96,6,56,1,,,
"Deli meat, beef, thin sliced",4 slices,56,83,349,11,tr,,,4,1.6,39,,1.2,791,240,11,94,0,,,
"Deli meat, chicken breast roll",2 slices,56,75,314,8,1,,,4,1.4,22,,0.2,494,181,10,68,0,,,
"Deli meat, chicken breast, low fat",2 slices,56,48,199,10,1,,,tr,0.1,25,,0.7,696,177,20,143,0,,,
"Deli meat, ham, extra lean (5% fat)",2 slices,56,62,258,10,1,,,2,0.5,27,,0.4,619,196,10,122,0,,,
"Deli meat, ham, regular (11% fat)",2 slices,56,91,382,9,2,,,5,1.6,32,,0.6,730,161,12,86,0,,,
"Deli meat, mock chicken, loaved",2 slices,56,147,616,7,2,,,12,7.4,33,,,536,129,,,0,,,
"Deli meat, turkey breast",2 slices,56,63,262,8,4,,,2,0.1,31,,1.2,672,195,11,88,0,,,
"Ham, extra lean, canned",2 slices,56,62,260,9,tr,,,2,0.8,21,,0.5,638,151,10,125,0,,,
"Ham, flaked, canned",60mL,35,48,199,6,tr,,,3,0.9,16,,0.3,367,87,5,49,0,,,
"Ham, lean and regular, roasted",75g,75,124,518,16,tr,,,6,2,43,,1.1,1039,272,14,186,0,,,
"Ham, lean, canned",2 slices,56,81,337,10,0,,,4,1.4,21,,0.5,715,187,9,116,0,,,
"Ham, whole, lean, roasted",75g,75,118,493,19,1,,,4,1.4,41,,0.7,995,237,17,170,0,,,
"Kielbasa (Kolbassa), pork and beef",1 piece,56,124,517,9,2,,,9,3.1,38,,0.8,520,155,9,83,0,,,
"Liver sausage (liverwurst), pork",30mL,27,93,388,4,1,,,8,3,43,,1.7,191,41,3,62,2248,,,
"Pastrami, beef",2 slices,56,74,309,10,1,,,3,1.3,52,,1.1,694,121,10,84,0,,,
"Pate, liver, canned",30mL,26,84,352,4,tr,,,7,2.5,67,,1.4,184,36,3,53,261,,,
"Pepperoni, pork, beef",10 slices,55,252,1053,11,2,,,22,8.7,64,,0.8,966,170,10,95,0,,,
"Salami, beef and pork",2 slices,46,118,495,6,2,,,9,3.7,30,,1.2,490,105,7,53,0,,,
"Salami, pork and beef, dry or hard",5 slices,50,185,774,12,1,,,15,5.1,40,,0.8,900,194,9,71,0,,,
"Salami, pork and beef, reduced salt",2 slices,46,182,762,7,7,,,14,4.9,41,,0.7,287,631,14,125,tr,,,
"Sausage, Bratwurst, pork, cooked",1,75,184,769,11,2,,,14,5.2,45,,1,418,159,11,112,0,,,
"Sausage, Italian, pork, cooked",1,75,258,1079,14,3,,,20,7.2,43,,1.1,905,228,14,128,8,,,
"Sausage, pork and beef, cooked",1,13,51,215,2,tr,,,5,1.7,9,,0.1,105,25,2,14,0,,,
"Sausage, pork, cooked",1,13,35,145,2,tr,,,3,0.9,11,,0.2,102,28,2,24,2,,,
"Sausage, turkey, cooked",1,13,31,128,2,tr,,,2,1,8,,0,76,26,3,24,0,,,
"Summer sausage, beef",2 slices,56,188,785,9,tr,,,17,6.7,42,,1.4,696,152,8,62,0,,,
"Turkey, canned, flaked",60mL,34,50,207,6,tr,,,3,0.8,23,,0.6,229,92,7,55,0,,,
"Vienna sausage (cocktail), beef and pork, canned",3,48,110,462,5,1,,,9,3.4,42,,0.4,465,48,3,24,0,,,
"Wiener (frankfurter), beef",1,38,104,436,5,2,,,8,3.3,23,,0.6,343,54,5,60,0,,,
"Wiener (frankfurter), beef and pork",1,38,107,449,5,2,,,9,3.4,19,,0.4,374,69,4,32,0,,,
"Wiener (frankfurter), beef and pork, light",1,38,58,242,4,2,,,4,1.4,17,,0.5,471,56,4,53,0,,,
"Wiener (frankfurter), chicken",1,38,93,390,4,2,,,7,2.1,38,,0.8,514,32,4,40,14,,,
,,,,,,,,,,,,,,,,,,,,,
MIXED DISHES,,,,,,,,,,,,,,,,,,,,,
MEXICAN,,,,,,,,,,,,,,,,,,,,,
Burrito with beans and cheese,1,93,189,790,8,27,,3.8,6,3.4,14,107,1.1,583,248,40,90,49,1,,
"Burrito with beef, cheese and chilli",1,152,316,1322,20,32,,2.2,12,5.2,85,111,3.9,1046,333,35,158,99,2,,
Nachos with cheese,15-20 nachos,113,346,1446,9,36,,4.1,19,7.8,18,272,1.3,816,172,55,276,,1,,
Quesadilla with meat,1,184,627,2622,31,40,tr,2.5,38,17.3,95,442,3.9,1265,319,44,457,167,6,,
Taco salad,250mL,129,193,807,12,13,2,2,11,4.1,35,92,1.3,452,275,29,138,40,4,,
"Taco with beef, cheese, salsa + vegetables",1,78,168,704,9,12,,,9,5.2,26,101,1.1,366,216,32,93,,1,,
SANDWICHES,,,,,,,,,,,,,,,,,,,,,
Club sandwich,1,246,558,2335,32,47,5,2.8,26,5.8,76,152,4.5,1152,480,47,347,43,6,,
Hot chicken sandwich,1,284,388,1621,40,31,2,1.7,10,3,89,109,4.7,1344,519,43,327,0,0,,
"Sandwich, egg salad",1,157,479,2003,14,27,3,1.2,35,6.6,335,119,2.9,693,155,19,187,153,0,,
"Sandwich, ham",1,121,260,1089,13,28,2,2.1,10,2.6,32,92,2.5,1132,229,25,139,49,3,,
"Sandwich, roast beef, plain",1,139,346,1447,22,33,,2.5,14,3.6,51,54,4.2,792,316,31,239,11,2,,
"Sandwich, salmon salad",1,162,340,1422,16,33,5,1.7,16,2.9,27,222,2.5,818,271,31,257,27,1,,
"Sandwich, tuna salad",1,162,371,1552,20,33,5,1.7,18,2.9,15,93,2.9,745,220,32,233,30,1,,
SALADS,,,,,,,,,,,,,,,,,,,,,
Caesar salad,250mL,228,335,1401,9,12,3,3.7,29,3.7,54,141,2.4,644,496,33,146,498,42,,
Caesar salad with chicken,500mL,327,491,2055,41,12,3,3.7,31,4.3,137,147,2.9,718,890,61,146,504,42,,
Garden Salad,250mL,77,47,198,1,4,3,0.9,4,0.6,0,13,0.3,216,135,6,16,48,4,,
Greek Salad,250mL,111,139,580,4,4,2,1.1,13,3.9,19,121,0.6,315,130,12,85,43,11,,
Pasta salad with vegetables,250mL,187,245,1001,5,33,5,2.2,10,1.6,0,27,1.8,1273,173,25,69,98,10,,
PASTA ,,,,,,,,,,,,,,,,,,,,,
Lasagna with meat (7.5cm x 9cm),1 piece,232,364,1523,22,37,6,2.4,14,7.4,50,251,3.2,623,428,46,280,83,11,,
"Lasagna, vegetarian (7.5cm x 9cm)",1 piece,256,355,1485,19,46,7,2.9,11,6.6,38,304,3.2,737,423,49,290,102,13,,
Macaroni and cheese (Kraft DinnerTM),250mL,202,395,1653,11,49,6,2,17,4.1,9,158,2.2,784,162,36,194,165,tr,,
Macaroni casserole with beef and tomato soup,250mL,263,319,1334,23,32,6,1.9,10,4,52,31,3.5,376,399,40,186,14,2,,
Spaghetti with cream sauce,250mL,211,250,1047,9,47,4,1.9,2,0.9,5,81,2.2,111,140,34,140,33,tr,,
Spaghetti with meat sauce,250mL,262,401,1678,19,50,9,4.9,14,4.5,56,101,4.7,1008,761,60,216,68,13,,
OTHER,,,,,,,,,,,,,,,,,,,,,
"Beef pot pie, commercial, individual",1 serving,227,638,2667,18,57,,2,38,11.4,41,45,2.3,1203,293,,109,279,0,,
Beef stew,250mL,259,168,701,18,14,3,1.8,4,1.6,39,29,2.2,604,496,33,183,132,9,,
Butter chicken,250mL,258,368,1538,28,13,4,1.5,23,9.9,116,125,2.4,740,669,54,307,147,11,,
Chicken fajita,1 fajita,223,350,1462,19,50,3,4.1,8,2.1,33,52,3.4,540,405,41,183,28,26,,
"Chicken pot pie, commercial, individual",1 serving,227,494,2065,21,37,3,3.1,29,9.5,62,59,3,347,349,34,195,222,9,,
Pad Tha?250ml,171,220,920,15,26,4,1.5,6,0.9,68,26,0.9,344,258,30,56,36,24,0.23,,
Poutine,250mL,165,380,1587,13,25,1,1.9,26,9.9,40,282,1.4,755,387,26,261,97,7,,
"Samosa, vegetarian",2,100,306,1280,5,32,1,2.1,18,5.6,8,33,1.8,795,178,17,70,36,3,,
Shepherd's pie,250mL,257,389,1628,17,40,5,3.1,17,5,41,52,1.9,584,766,54,213,94,14,,
Stir fry with beef,250mL,229,290,1213,22,20,11,2.2,14,2.3,46,45,2.7,888,534,37,211,30,69,,
Stir fry with chicken,250mL,171,255,1067,18,8,2,1.5,17,4,63,27,1.3,552,387,25,165,109,22,,
Stir fry with tofu,250mL,171,183,767,14,10,3,1.4,10,1.1,tr,142,1.8,493,326,36,141,72,20,,
Sushi with fish,4,104,164,684,5,35,7,0.8,tr,0.1,3,20,0.5,666,142,21,66,52,2,,
"Sushi with vegetables, no fish",4,104,122,510,2,27,5,0.5,tr,0.1,0,13,0.2,100,60,13,38,16,2,,
Sweet and sour meatballs,6,258,472,2322,26,33,19,0.7,26,10.6,95,76,3.3,931,409,37,243,33,1,,
"Tourtiere, homemade (20cm diam)",1/6 ,113,307,1283,15,23,1,1.2,17,6.4,47,28,1.9,352,273,22,157,1,1,,
,,,,,,,,,,,,,,,,,,,,,
SNACKS,,,,,,,,,,,,,,,,,,,,,
POPCORN,,,,,,,,,,,,,,,,,,,,,
Air-popped,250mL,8,32,135,1,7,tr,1.3,tr,tr,0,1,0.2,tr,25,11,25,1,0,,
Caramel-coated,250mL,37,160,670,1,29,20,1.9,5,1.3,2,16,0.6,77,41,13,31,1,0,,
"Microwave, low fat and reduced salt",250mL,8,34,144,1,6,tr,1.1,1,0.1,0,1,0.2,39,19,12,21,tr,0,,
"Oil-popped, regular and microwaved",250mL,12,58,243,1,7,tr,1.2,3,0.6,0,1,0.3,103,26,13,29,1,tr,,
CHIPS,,,,,,,,,,,,,,,,,,,,,
"Corn-based puffs or twists, cheese (CheesiesTM)",250mL,37,205,857,3,20,1,0.4,13,2.4,1,21,0.9,388,61,7,40,2,tr,,
"Potato chips made from dried potatoes, plain (PringlesTM)",17 chips,28,156,654,2,14,1,1,11,2.6,0,7,0.4,184,282,16,44,0,2,,
"Potato chips, baked, plain",1 small bag,43,202,843,2,31,2,2.1,8,1.1,0,54,0.3,394,310,18,118,0,0,,
"Potato chips, flavoured",1 small bag,43,211,883,3,23,,1.9,14,3.5,0,22,0.8,323,542,32,80,5,15,,
"Potato chips, plain",1 small bag,43,230,964,3,21,tr,1.6,15,1.8,0,9,0.7,229,571,30,65,0,25,,
"Tortilla chips, nacho flavoured (DoritosTM)",1 small bag,50,249,1042,4,31,2,2.7,13,2.5,2,74,0.7,354,108,41,122,12,1,,
"Tortilla chips, plain",26 small,47,234,980,3,29,tr,3,12,2.3,0,72,0.7,247,92,41,96,2,0,,
OTHER SNACKS,,,,,,,,,,,,,,,,,,,,,
Banana chips,10 chips,14,73,304,tr,8,5,1.1,5,4.1,0,3,0.2,1,75,11,8,1,1,,
Beef jerky (22cm long),1 stick,20,81,340,7,2,2,0.4,5,2.1,10,4,1.1,438,118,10,81,0,0,,
Beer nuts,10 nuts,34,186,779,8,10,5,2.2,14,2,0,26,0.6,2,203,54,152,0,tr,,
Bits and bites snack bites (Bits & BitesTM),125mL,31,132,554,4,21,3,1.9,4,1,1,18,2.6,263,92,24,71,2,tr,,
Fruit leather bar (Fruit to GoTM),1 bar,14,49,206,tr,11,,0.5,1,0.6,0,4,0.1,11,19,3,8,1,1,,
"Pretzels, hard, plain, salted",10 sticks,5,19,80,tr,4,tr,0.2,tr,tr,0,2,0.2,86,7,2,6,0,0,,
"Pretzels, hard, plain, unsalted",10 sticks,50,191,797,5,40,1,1.4,2,0.4,0,18,2.2,145,73,18,57,0,0,,
"Rice cakes, plain",1,9,35,146,1,7,tr,0.4,tr,0.1,0,1,0.1,29,26,12,32,0,0,,
